iter	Logloss
310	0.2721540582
311	0.2719888888
312	0.2714994484
313	0.2713863547
314	0.2708509509
315	0.2703713605
316	0.2698081216
317	0.2695293281
318	0.2691209899
319	0.2687558043
320	0.2681950822
321	0.2677639866
322	0.2673355917
323	0.2668273981
324	0.2662643245
325	0.2660931807
326	0.2658177792
327	0.2653124324
328	0.2648639419
329	0.2645081189
330	0.2643292002
331	0.2641169714
332	0.263585078
333	0.2632888374
334	0.2628264921
335	0.2626007641
336	0.2621218995
337	0.2617192558
338	0.2610927362
339	0.2608871354
340	0.2603151524
341	0.2600394764
342	0.25970428
343	0.2595066718
344	0.2592311908
345	0.2587263169
346	0.2582314903
347	0.2572759445
348	0.256981055
349	0.2567915239
350	0.2564869614
351	0.2562230832
352	0.2559367816
353	0.2552928382
354	0.254950926
355	0.2548398194
356	0.2542342801
357	0.2538231493
358	0.2534508922
359	0.2529123645
360	0.2526515307
361	0.2523877795
362	0.2522703914
363	0.2520926427
364	0.2512078621
365	0.251071853
366	0.2508102727
367	0.2504899032
368	0.250125243
369	0.2499329367
370	0.2498423387
371	0.2495374672
372	0.2490696413
373	0.2487341712
374	0.2483688934
375	0.2476860905
376	0.2474230067
377	0.2472006504
378	0.2467177321
379	0.2464191438
380	0.2459865076
381	0.2456811916
382	0.2452548195
383	0.2447840945
384	0.2446841502
385	0.2445128108
386	0.2442421957
387	0.2440744388
388	0.2436692296
389	0.2431308165
390	0.2430134973
391	0.2425209426
392	0.2417400662
393	0.2411938685
394	0.2410039745
395	0.2403751612
396	0.2400730744
397	0.2397830947
398	0.2392270919
399	0.2388866088
400	0.2386404781
401	0.238088004
402	0.2378615509
403	0.2372684192
404	0.2367957835
405	0.2362942651
406	0.2359698348
407	0.2354550891
408	0.2350091234
409	0.2346235162
410	0.2342424437
411	0.2340547072
412	0.2339074483
413	0.2337650107
414	0.2335589558
415	0.2332997349
416	0.2331470557
417	0.2329076362
418	0.2327683171
419	0.2325092941
420	0.2319261617
421	0.2315762354
422	0.2311026853
423	0.2308881553
424	0.2305574752
425	0.2303531439
426	0.2301662041
427	0.2300163263
428	0.2297501807
429	0.2293700529
430	0.2291290526
431	0.228813764
432	0.2286814049
433	0.2283426842
434	0.2278928474
435	0.2276235525
436	0.2272872098
437	0.2267883388
438	0.2264891268
439	0.2261475468
440	0.2258407434
441	0.2255324215
442	0.2252995922
443	0.2248758579
444	0.2247330672
445	0.2242364958
446	0.2238387175
447	0.2236298896
448	0.2231769024
449	0.2230080246
450	0.2228410012
451	0.2225744476
452	0.2222652979
453	0.222258589
454	0.2218771969
455	0.221477184
456	0.2212126955
457	0.2208699965
458	0.2206891996
459	0.2201902129
460	0.2198387272
461	0.2194310457
462	0.2190595897
463	0.2186594449
464	0.218108821
465	0.2178576086
466	0.2177007805
467	0.2172218468
468	0.2169215014
469	0.2164827652
470	0.2162453061
471	0.2159462725
472	0.2157991206
473	0.2152947454
474	0.2148493719
475	0.2141358334
476	0.2136749741
477	0.2133830756
478	0.2129066267
479	0.2127264939
480	0.2122650861
481	0.2114922804
482	0.2112500299
483	0.2109364267
484	0.210709083
485	0.2105023243
486	0.210053722
487	0.2097001017
488	0.2094620837
489	0.2089057639
490	0.2086022594
491	0.2079900998
492	0.2075379006
493	0.207265199
494	0.2069628161
495	0.206803798
496	0.2066965057
497	0.2059789692
498	0.2058111815
499	0.2055492994
